,Book Id,Category
700,68427,Fiction / Fantasy / Epic
701,68427,General
702,68427,Klątwa
703,68427,Nouvelles
704,68427,Princes
705,68427,Princesses
706,68427,Romans
707,68427,Vie Urbaine
708,68427,Wojna
709,57850265,American Literature
710,57850265,Climate
711,57850265,Décadence
712,57850265,Epidemics
713,57850265,Fiction
714,57850265,Fiction / Humorous / General
715,57850265,Fiction / Literary
716,57850265,Fiction / Satire
717,57850265,Interpersonal Relations
718,57850265,Life On Other Planets
719,57850265,Maladies À Virus
720,57850265,Nouvelles
721,57850265,Plague
722,57850265,Regression (Civilization)
723,57850265,Resilience (Personality Trait)
724,57850265,Romans
725,57850265,Résilience (Trait De Personnalité)
726,57850265,Virus Diseases
727,52397,813/.54
728,52397,African American
729,52397,African American Women
730,52397,African Americans
731,52397,African Americans--Fiction
732,52397,American Literature
733,52397,Apocalyptic & Post-Apocalyptic
734,52397,Audiobooks
735,52397,Black Teenage Girls
736,52397,California
737,52397,Comic Books
738,52397,Comics & Graphic Novels
739,52397,Comics & Graphic Novels / Historical Fiction
740,52397,Comics & Graphic Novels / Science Fiction
741,52397,Dystopian
742,52397,Dystopias
743,52397,Environmental Disasters
744,52397,Faith
745,52397,Fiction
746,52397,General
747,52397,Graphic Novels
748,52397,Literary
749,52397,New York Times Bestseller
750,52397,Ps3552.U827 P37 2000
751,52397,Psychic Ability
752,52397,Science Fiction
753,52397,Strips
754,52397,Survival
755,52397,Twenty-First Century
756,52397,Twenty-First Century--Fiction
757,52397,Women
758,50252588,Language Arts & Disciplines
759,49682914,Language Arts & Disciplines
760,112974860,New York Times Bestseller
761,112974860,Social Science
762,18952381,Fantasy
763,18952381,Fiction
764,18952381,Fiction / Action & Adventure
765,18952381,Fiction / Fantasy / Epic
766,18952381,Fiction / Fantasy / General
767,18952381,Friendship
768,18952381,General
769,18952381,Imaginary Wars And Battles
770,18952381,Revolutions
771,57684325,Language Arts & Disciplines
772,51942513,Buddhism
773,51942513,Conduct Of Life
774,51942513,Doctrines
775,51942513,Happiness
776,51942513,Hinduism
777,51942513,Meaning (Psychology)
778,51942513,Monastic And Religious Life
779,51942513,New York Times Bestseller
780,51942513,Psychology
781,51942513,Self-Help
782,51942513,Self-Realization
783,124950497,Language Arts & Disciplines
784,1303,Abridged Audio - Misc. Nonfiction
785,1303,Ambição
786,1303,Audiobooks
787,1303,Business
788,1303,Business & Economics
789,1303,Conduct Of Life
790,1303,Control (Philosophy)
791,1303,Control (Psychology)
792,1303,Contrãole (Psychologie
793,1303,Contrôle (Psychologie)
794,1303,Contrôle (Psychologie.)
795,1303,Gesellschaft
796,1303,History & Theory - General
797,1303,Influência
798,1303,Jogo
799,1303,Leadership
800,1303,Liderança
801,1303,Macht
802,1303,Manipulação
803,1303,Motivational
804,1303,Nonfiction
805,1303,Nutzung
806,1303,Personal Growth
807,1303,Persuasão
808,1303,Philosophy And Ethics
809,1303,Poder
810,1303,Political Science
811,1303,Political Science & Theory
812,1303,Political Science / History & Theory
813,1303,Politics/International Relations
814,1303,Pouvoir (Morale)
815,1303,Pouvoir (Morale.)
816,1303,Power (Philosophy)
817,1303,Power (Psychology)
818,1303,Power (Social Sciences)
819,1303,Psychology
820,1303,Self-Help
821,1303,Self-Improvement
822,1303,Success
823,1303,Zwischenmenschliche Beziehung
824,83337,Chess
825,83337,End Games
826,83337,Games & Activities
827,9547888,Attachment Behavior
828,9547888,Family & Relationships
829,9547888,Interpersonal Relations
830,9547888,Intimacy (Psychology)
831,9547888,Psychology
832,12343111,Chess
833,12343111,Combinaties
834,12343111,Games
835,12343111,Schaken
836,44421460,Coffee
837,44421460,Family
838,44421460,Fiction
839,44421460,Forgiveness
840,44421460,Friendship
841,44421460,Loss
842,44421460,Love
843,44421460,Magical Realism
844,44421460,Redemption
845,44421460,Romance
846,44421460,Second Chances
847,44421460,Slice-Of-Life
848,44421460,Time Travel
849,23168277,1961-1975
850,23168277,Communists
851,23168277,Espionage
852,23168277,Fiction
853,23168277,General
854,23168277,Historical
855,23168277,New York Times Bestseller
856,23168277,New York Times Reviewed
857,23168277,Soldiers
858,23168277,Thrillers
859,23168277,Vietnam
860,23168277,Vietnam War
861,23168277,War & Military
862,6334,1954-
863,6334,Clonage
864,6334,Cloning
865,6334,Cloning--Fiction
866,6334,De Tissus
867,6334,Donation Of Organs
868,6334,Donneurs D'Organes
869,6334,Dons D'Organes
870,6334,England
871,6334,English Literature
872,6334,Etc
873,6334,Etc--Fiction
874,6334,Femmes
875,6334,Fic
876,6334,Fiction
877,6334,Friendship
878,6334,General
879,6334,Human Cloning
880,6334,Ishiguro
881,6334,Kazuo
882,6334,Large Type Books
883,6334,Literary
884,6334,Literature
885,6334,New York Times Bestseller
886,6334,Nouvelles
887,6334,Novela Inglesa
888,6334,Organ Donors
889,6334,Organ Donors--Fiction
890,6334,Powieść Angielska
891,6334,Pr6059.S5 N48 2006
892,6334,Psychological
893,6334,Psychological Fiction
894,6334,Reminiscing
895,6334,Romans
896,6334,School Children
897,6334,Science Fiction
898,6334,Tissues
899,6334,Tłumaczenia Polskie
900,6334,Women
901,6334,Women--Fiction
902,10846336,1000Blackgirlbooks
903,10846336,2005
904,10846336,African American
905,10846336,African American & Black
906,10846336,African American Children
907,10846336,African American Families
908,10846336,African American Teenage Girls
909,10846336,African Americans
910,10846336,Amerikanisches Englisch
911,10846336,Brothers And Sisters
912,10846336,Christian
913,10846336,Family Life
914,10846336,Fiction
915,10846336,General
916,10846336,Girls
917,10846336,Hurricane Katrina
918,10846336,Hurricane Katrina (2005) Fast (Ocolc)Fst01755264
919,10846336,Large Type Books
920,10846336,Literary
921,10846336,Mississippi
922,10846336,Motherless Families
923,10846336,Natural Disasters
924,10846336,Poor
925,10846336,Poverty
926,10846336,Reading Level-Grade 10
927,10846336,Reading Level-Grade 11
928,10846336,Reading Level-Grade 12
929,10846336,Reading Level-Grade 7
930,10846336,Reading Level-Grade 8
931,10846336,Reading Level-Grade 9
932,10846336,Roman
933,10846336,Rural Poor
934,10846336,Siblings
935,10846336,Teenagers
936,30558257,Language Arts & Disciplines
937,63219094,Language Arts & Disciplines
938,54774986,Language Arts & Disciplines
939,23515727,American Fiction
940,23515727,American Fiction (Fictional Works By One Author)
941,23515727,Drug Traffic
942,23515727,Fiction
943,23515727,Large Type Books
944,23515727,Literature
945,23515727,Murderers
946,23515727,Novela
947,23515727,Policía
948,23515727,Psychological
949,23515727,Psychological Fiction
950,23515727,Sheriffs
951,23515727,Spanish Language Materials
952,23515727,Suspense
953,23515727,Suspense Fiction
954,23515727,Tesoros Ocultos
955,23515727,Texas
956,23515727,Thrillers
957,23515727,Treasure Troves
958,23515727,Treasure-Trove
959,23515727,Tráfico De Drogas
960,42933,Language Arts & Disciplines
961,36315,Language Arts & Disciplines
962,77203,Afghanistan
963,77203,Afghanistan-Konflikt
964,77203,Afghans
965,77203,American Fiction
966,77203,Amistad Entre Hombres
967,77203,Amitié Masculine
968,77203,Arabic Fiction
969,77203,Autographed Books
970,77203,Bacha Bazi
971,77203,Betrayal
972,77203,Betrayal--Fiction
973,77203,Bildungsromans
974,77203,Boys
975,77203,Boys--Fiction
976,77203,Brass Knuckles
977,77203,Clases Sociales
978,77203,Classes Sociales
979,77203,Coming Of Age
980,77203,Competitions
981,77203,Drama
982,77203,Ficción
983,77203,Fiction
984,77203,Fiction Subjects
985,77203,Fictional Works
986,77203,Fictional Works [Publication Type]
987,77203,Fighter Kites
988,77203,Freundschaft
989,77203,Friendship
990,77203,Garçons
991,77203,General
992,77203,Hazaras
993,77203,Histoire
994,77203,Historical Fiction
995,77203,In Library
996,77203,Interpersonal Relations
997,77203,Junge
998,77203,Kites
999,77203,Large Type Books
1000,77203,Literary Fiction
1001,77203,Literature
1002,77203,Littérature Américaine
1003,77203,Long Now Manual For Civilization
1004,77203,Male Friendship
1005,77203,Male Friendship--Fiction
1006,77203,Modern & Contemporary Fiction (Post C 1945)
1007,77203,Muchachos
1008,77203,Mullahs
1009,77203,New York Times Bestseller
1010,77203,Nouvelles
1011,77203,Novela
1012,77203,Novelas Afganas
1013,77203,Open Library Staff Picks
1014,77203,Open Syllabus Project
1015,77203,Parent And Child
1016,77203,Pashtuns
1017,77203,Romans
1018,77203,Sadistic Personality Disorder
1019,77203,Social Class
1020,77203,Social Classes
1021,77203,Social Classes&#X200B;
1022,77203,Social Classes--Fiction
1023,77203,Social Conditions
1024,77203,Soviet-Afghan War
1025,77203,Soziale Ungleichheit
1026,77203,Talibans
1027,77203,Teenage Boys
1028,77203,Trahison (Morale)
1029,77203,Traición
1030,77203,Translations Into Persian
1031,77203,World Literature
1032,18774964,Conduct Of Life
1033,18774964,Early Retirement
1034,18774964,Ensamhet
1035,18774964,Ensamstående Män
1036,18774964,Feelgood
1037,18774964,Ficción
1038,18774964,Fiction
1039,18774964,Friendship
1040,18774964,General
1041,18774964,Grannar
1042,18774964,Humor
1043,18774964,Humoristiska Skildringar
1044,18774964,Humorous
1045,18774964,Interpersonal Relations
1046,18774964,Jubilación Anticipada
1047,18774964,Large Type Books
