,Unnamed: 0,Book Id,Category
1217,1217,33574273,Sci-Fi
1218,1218,33574273,Science Fiction
1219,1219,33574273,Space And Time
1221,1221,33574273,Time Travel
1227,1227,54814676,Américains D'Origine Asiatique
1229,1229,54814676,Asian & Asian American
1230,1230,54814676,Asian Americans
1233,1233,54814676,Biographies
1234,1234,54814676,Biography
1235,1235,54814676,Biography & Autobiography
1239,1239,54814676,Cooking
1240,1240,54814676,Cultural
1241,1241,54814676,Death
1243,1243,54814676,Ethnic & Regional
1244,1244,54814676,Family & Relationships
1248,1248,54814676,Humans
1251,1251,54814676,Korean
1256,1256,54814676,Mothers And Daughters
1265,1265,54814676,United States
1267,1267,41804,American
1268,1268,41804,American Literature
1269,1269,41804,American Science Fiction
1270,1270,41804,American Short Stories
1271,1271,41804,Artificial Intelligence
1273,1273,41804,Children'S Fiction
1284,1284,41804,Morality
1286,1286,41804,Readers
1293,1293,41804,Robots
1295,1295,41804,Roman
1296,1296,41804,Science Fiction
1299,1299,41804,Short Stories
1305,1305,41804,Thriller
1306,1306,29579,American Fantasy Fiction
1307,1307,29579,American Literature
1308,1308,29579,American Science Fiction
1313,1313,29579,Life On Other Planets
1315,1315,29579,Nouvelles
1317,1317,29579,Prophecy
1320,1320,29579,Psychological Fiction
1321,1321,29579,Robots
1323,1323,29579,Science Fiction
1325,1325,39943621,Dragons
1326,1326,39943621,Epic
1327,1327,39943621,Epic Fiction
1328,1328,39943621,Fantasy
1330,1330,39943621,Fiction / Action & Adventure
1332,1332,39943621,Fiction / Fantasy / Epic
1333,1333,39943621,Good And Evil
1334,1334,39943621,Imaginary Places
1335,1335,39943621,Imaginary Wars And Battles
1336,1336,39943621,Kings And Rulers
1338,1338,39943621,Magic
1343,1343,39943621,Seven Kingdoms (Imaginary Place)
1350,1350,228665,American Literature
1351,1351,228665,Children'S Fiction
1352,1352,228665,Children'S Stories
1353,1353,228665,Comic Books
1354,1354,228665,Comics & Graphic Novels
1355,1355,228665,Epic
1356,1356,228665,Fantasy
1358,1358,228665,Fantasy Fiction
1361,1361,228665,Good And Evil
1362,1362,228665,Monsters
1366,1366,228665,Science Fiction
1368,1368,228665,Strips
1369,1369,14817,American Science Fiction
1370,1370,14817,California
1371,1371,14817,Comics & Graphic Novels
1372,1372,14817,Detective And Mystery Stories
1375,1375,14817,Fiction In English
1378,1378,14817,Multiple Personality
1381,1381,14817,Police
1382,1382,14817,Science Fiction
1384,1384,49189494,American Literature
1387,1387,20170404,Action & Adventure
1389,1389,20170404,Adventure
