,Book Id,Category
2967,18143977,Historical Fiction
2968,18143977,History
2972,18143977,Literary
2975,18143977,Nouvelles
2985,18143977,Roman
2987,18143977,Survival
2993,119322,Action & Adventure
2995,119322,Adventure
3011,119322,Children'S Fiction
3022,119322,Etc. Pour La Jeunesse
3026,119322,Fantasy
3028,119322,Fantasy Fiction
3029,119322,Ficción Juvenil
3034,119322,Good And Evil
3036,119322,Horror
3037,119322,Imaginary Places
3039,119322,Juvenile Fiction
3056,119322,Magia
3057,119322,Magic
3061,119322,Missing Persons
3068,119322,Nouvelles
3069,119322,Novela Fantástica
3071,119322,Novela Juvenil
3080,119322,Readers
3086,119322,Science Fiction
3090,119322,Spanish Language Materials
3092,119322,Survival
3097,119322,Traducciones Al Español
3102,119322,Young Adult Fiction
3104,5060378,Adventure
3108,5060378,Crime
3115,5060378,Fictional Works
3122,5060378,Journalists
3125,5060378,Murder
3131,5060378,Suspense
3132,5060378,Suspense Fiction
3133,5060378,Thrillers
3140,2429135,Audiobooks
3151,2429135,Crime
3153,2429135,Death
3158,2429135,Families
3163,2429135,Fictional Works
3178,2429135,Journalists
3192,2429135,Missing Persons
3194,2429135,Murder
3195,2429135,Mystery
3196,2429135,Mystery & Detective
3197,2429135,Mystery Fiction
3199,2429135,Nouvelles
3211,2429135,Revenge
3221,2429135,Spanish Language Materials
3223,2429135,Suspense
3224,2429135,Suspense Fiction
3228,2429135,Thriller
3229,2429135,Thrillers
3230,2429135,Translations Into English
3240,17245,Action & Adventure
3241,17245,Adaptations
3246,17245,British And Irish Fiction (Fictional Works By One Author)
3247,17245,Classics
3258,17245,Drama
3259,17245,England
3261,17245,English Language
3262,17245,English Literature
3264,17245,Fantasy
3269,17245,German
3273,17245,Historical
3274,17245,History And Criticism
3275,17245,Horror
3276,17245,Horror Fiction
3278,17245,Horror Tales
3283,17245,Literature
3286,17245,Nouvelles
3288,17245,Psychological
3289,17245,Psychological Fiction
3296,17245,Science Fiction
3302,17245,Thriller
3306,238140,Crime
3313,238140,Mystery & Detective
3314,238140,New York (N.Y.)
3316,238140,Nouvelles
3318,238140,Police
3330,133518,Family Life
3332,133518,Fictional Works
3339,133518,Missing Persons
3340,133518,Nouvelles
3343,133518,Psychological
3350,133518,Short Stories
3357,133518,War
3364,6498356,Missing Persons
3365,6498356,Police
3367,6498356,Suspense Fiction
3371,7445,Alcoholism
3375,7445,Biographies
3376,7445,Biography
3377,7445,Biography & Autobiography
3395,7445,Extraterrestrial Beings
3399,7445,Families
3419,7445,Journalists
3443,7445,Science Fiction
3446,7445,Survival
3447,7445,United States
3450,7445,War
3459,1150161,Mystery Fiction
3464,19286587,Coming Of Age
3467,19286587,Families
3468,19286587,Family Life
3473,19286587,Friendship
3485,168981,Business & Economics
3487,168981,Decision Making
3490,35356383,Adventure
3493,35356383,Biography & Autobiography
3496,35356383,Literary
3501,35356383,Travel
3502,39715684,Self-Help
3503,3153910,American Fiction
3504,3153910,Animals
3512,3153910,Literature
3516,51326977,Action & Adventure
3519,51326977,Historical
3527,51113,Historical
3528,51113,History
3530,51113,Man-Woman Relationships
3535,51113,Travel
3538,19288043,Amerikanisches Englisch
3539,19288043,Chang Pian Xiao Shuo
3557,19288043,Missing Persons
3558,19288043,Mystery & Detective
3560,19288043,Mystery Fiction
3566,19288043,Roman
3568,19288043,Suspense
3569,19288043,Suspense Fiction
3570,19288043,Thrillers
3573,12262741,Adventure
3578,12262741,Biography
3579,12262741,Biography & Autobiography
3587,12262741,Literary
3596,12262741,Travel
3605,40102,Decision Making
3610,40102,History
3629,40102,Psychology
3633,40102,Self-Help
3634,40102,Social Psychology
3638,29780253,Biographies
3639,29780253,Biography
3640,29780253,Biography & Autobiography
3648,29780253,History
3649,29780253,Humor
3664,27214080,Biography
3665,27214080,Biography & Autobiography
3672,27214080,United States
3683,34273236,Family Life
3687,34273236,Fiction / Literary
3688,34273236,Friendship
3691,34273236,Literary
3700,6288,Adventure
3701,6288,American Fiction (Fictional Works By One Author)
3708,6288,Dystopian
3709,6288,Ethics
3717,6288,Horror
3731,6288,Reading Level-Grade 7
3732,6288,Reading Level-Grade 8
3738,6288,Science Fiction
3739,6288,Survival
3741,6288,Travel
3745,36124936,Crime
3747,36124936,Fantasy
3750,36124936,Horror
3753,36124936,Murder
3754,36124936,Mystery
3755,36124936,Mystery Thriller
3762,36124936,Suspense
3763,36124936,Thriller
3764,36124936,Thrillers
3775,40097951,Psychological
3777,40097951,Thrillers
3782,39863488,Brothers And Sisters
3784,39863488,Death
3785,39863488,Families
3794,39863488,Missing Persons
3796,39863488,Psychological
3798,39863488,Thrillers
3800,43848929,Conduct Of Life
3802,43848929,Interpersonal Relations
3807,43848929,Social Psychology
